Charge (Wh),Charge (Ah),Voltage,Current,Time,TBAT1,TBAT2,TBAT3,TBAT4,TBRD,Cycle Number,Charge direction (chg/hold/dschg)
35.35160305790247,4.137363891195344,8.2591712,0.0469208224,57157.883997135,260.58704,261.38224,261.30272,260.66656,297.05335840000004,1,chg
35.35160305790247,4.137363891195344,8.264567,0.0557184766,57178.950687827,260.428,261.54128000000003,261.54128000000003,260.58704,297.05335840000004,1,hold
35.35160305790247,4.137363891195344,8.262768399999999,0.0557184766,57200.507368415,260.50752,261.46176,261.38224,260.66656,296.9788716,1,hold
35.35160305790247,4.137363891195344,8.262768399999999,0.0469208224,57222.060685115,260.50752,261.46176,261.30272,260.58704,296.9788716,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.058651027999999994,57243.626259412,260.428,261.30272,261.54128000000003,260.58704,297.05335840000004,1,hold
35.35160305790247,4.137363891195344,8.2609698,0.058651027999999994,57265.179932099,260.8256,261.38224,261.46176,260.66656,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.043988270999999995,57286.733150802,260.66656,261.30272,261.38224,260.428,297.05335840000004,1,hold
35.35160305790247,4.137363891195344,8.262768399999999,0.0557184766,57308.299049088,260.58704,261.38224,261.62080000000003,260.58704,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.264567,0.0557184766,57329.868104271,260.66656,261.38224,261.62080000000003,260.66656,296.9788716,1,hold
35.35160305790247,4.137363891195344,8.2609698,0.0469208224,57351.419032049,260.58704,261.46176,261.54128000000003,260.50752,297.1278452,1,hold
35.35160305790247,4.137363891195344,8.264567,0.05278592519999999,57372.981816437,260.66656,261.46176,261.38224,260.58704,296.9788716,1,hold
35.35160305790247,4.137363891195344,8.264567,0.0469208224,57394.539086007,260.66656,261.54128000000003,261.62080000000003,260.50752,297.202332,1,hold
35.35160305790247,4.137363891195344,8.2663656,0.0498533738,57416.095182615,260.58704,261.62080000000003,261.54128000000003,260.8256,297.05335840000004,1,hold
35.35160305790247,4.137363891195344,8.264567,0.0469208224,57437.649282289,260.50752,261.46176,261.38224,260.50752,296.9788716,1,hold
35.35160305790247,4.137363891195344,8.264567,0.05278592519999999,57459.205496893,260.58704,261.54128000000003,261.46176,260.66656,297.202332,1,hold
